genre,prénom
2,AMAMA
2,AARON
0,ABDON
1,ABDONIE
0,ABEL
1,ABELA
2,ABELARD
1,ABELINA
1,ABELINE
1,ABELLA
1,ABELLE
2,ABRAHAM
2,ACHARD
2,ACHILE
0,ACHILLE
2,ACHILLES
1,ADA
2,ADALBERT
2,ADAM
1,ADDA
1,ADELA
1,ADELAIDA
0,ADELAIDE
2,ADELBERT
1,ADELEINE
1,ADELHEID
1,ADELIA
1,ADELIE
2,ADELIN
1,ADELINA
1,ADELINE
2,ADELINO
1,ADELLE
1,ADELMA
2,ADELPHE
1,ADELPHINE
2,ADELSON
1,ADEMA
2,ADEMAR
1,ADENISE
2,ADEODAT
2,ADHELARD
2,ADHEMAR
1,ADIANA
1,ADINE
2,ADMIRE
1,ADNA
2,ADOLF
2,ADOLFO
1,ADOLIE
1,ADOLORATA
2,ADOLPH
1,ADOLPHA
0,ADOLPHE
1,ADOLPHINE
2,ADON
1,ADONIA
1,ADONIE
2,ADONIS
1,ADONISE
1,ADORATION
1,ADRIANA
1,ADRIANE
2,ADRIANO
2,ADRIEN
1,ADRIENE
1,ADRIENNA
1,ADRIENNE
0,ADÈLE
2,AGAPIT
2,AGAPITO
0,AGATHE
1,AGATHINE
2,AGATHON
2,AGENOR
1,AGLAE
1,AGLAEE
0,AGNAN
1,AGNECE
2,AGNEL
1,AGNELA
1,AGNESE
0,AGNÈS
2,AGOP
2,AGOSTINO
1,AGRIPPINE
2,AHMED
1,AICHA
1,AIDA
1,AIDEE
2,AIGNAN
1,AIMA
0,AIMABLE
0,AIME
1,AIMMEE
2,AIMÉ
0,AIMÉE
2,AJAX
2,ALADIN
2,ALAIN
1,ALBA
2,ALBAIN
0,ALBAN
1,ALBANE
1,ALBANIE
2,ALBANS
1,ALBERIA
0,ALBERIC
1,ALBERIE
0,ALBERT
1,ALBERTA
1,ALBERTE
1,ALBERTHE
2,ALBERTIN
1,ALBERTINA
1,ALBERTINE
2,ALBERTO
2,ALBIN
1,ALBINA
1,ALBINE
2,ALBINO
2,ALBRECHT
2,ALCE
2,ALCEE
2,ALCIBIADE
1,ALCIDA
0,ALCIDE
1,ALCIDIE
2,ALCIME
1,ALCINE
1,ALDA
2,ALDE
1,ALDEE
1,ALDEGONDE
2,ALDERIC
1,ALDINA
2,ALDO
2,ALDONCE
2,ALDRIC
1,ALEA
2,ALEC
1,ALESIA
1,ALETH
0,ALEX
2,ALEXANDER
1,ALEXANDRA
0,ALEXANDRE
1,ALEXANDRINA
0,ALEXANDRINE
2,ALEXANDRO
1,ALEXIA
1,ALEXIDA
1,ALEXIDE
2,ALEXIN
1,ALEXINA
1,ALEXINE
0,ALEXIS
1,ALFA
2,ALFEO
2,ALFIO
2,ALFONSE
2,ALFONSO
2,ALFRED
1,ALFREDA
0,ALFREDE
1,ALFREDIE
1,ALFREDINE
2,ALFREDO
1,ALFRÉDA
2,ALI
1,ALIA
2,ALIBERT
0,ALICE
1,ALICIA
1,ALICIE
1,ALIDA
2,ALIDOR
1,ALIETTE
2,ALIN
1,ALINA
1,ALINE
1,ALIS
1,ALISA
1,ALISE
1,ALISSE
2,ALIX
1,ALIXE
1,ALIXIA
2,ALLAIN
1,ALLIETTE
1,ALLINE
2,ALLYRE
0,ALMA
1,ALMAIDE
1,ALMEE
2,ALMIR
0,ALMIRE
2,ALMYRE
1,ALNA
1,ALODIE
2,ALOIS
0,ALOISE
2,ALONSO
2,ALOYS
2,ALOYSE
1,ALOYSIA
2,ALPHE
2,ALPHEE
1,ALPHENA
1,ALPHONSA
0,ALPHONSE
1,ALPHONSIA
1,ALPHONSINE
2,ALPHONSO
2,ALPINIEN
1,ALSACE
1,ALVANIE
2,ALVARO
2,ALVIN
1,ALVINA
1,ALVINE
1,ALVIRA
1,ALWINE
1,ALYETTE
0,ALYRE
1,ALZINA
2,ALZIRE
1,AMABILE
0,AMABLE
2,AMADEO
2,AMADOR
1,AMALIA
1,AMALIE
2,AMAN
2,AMAND
1,AMANDA
1,AMANDE
1,AMANDINE
2,AMANS
2,AMANT
1,AMANTE
1,AMANTHE
1,AMANTINE
1,AMARANTE
1,AMARANTHE
2,AMATEUR
2,AMAURY
0,AMBROISE
1,AMBROISINE
1,AMBROSINE
2,AME
2,AMEDE
1,AMEDEA
0,AMEDEE
2,AMEDEO
1,AMEDINE
2,AMEGLIO
2,AMELIEN
1,AMELINA
1,AMELINE
2,AMELIO
2,AMELIUS
2,AMERICO
1,AMERINE
2,AMERY
1,AMICA
1,AMICIE
2,AMILCAR
2,AMILCARE
1,AMINA
1,AMINTHE
1,AMOUR
1,AMPARO
1,AMY
2,AMÉDÉE
1,AMÉLIA
0,AMÉLIE
1,ANA
2,ANACLET
1,ANAISE
1,ANALIE
0,ANASTASE
1,ANASTASIA
0,ANASTASIE
2,ANASTASIO
2,ANASTHASE
1,ANASTHASIE
1,ANATALIE
1,ANATHALIE
1,ANATHILDE
0,ANATOLE
1,ANATOLIE
1,ANATOLINE
1,ANAÏS
2,ANCEL
2,ANDEOL
1,ANDHREE
1,ANDOCHE
1,ANDREANNE
1,ANDREINE
1,ANDRELINE
2,ANDRES
1,ANDRESE
1,ANDRESINE
1,ANDRETTE
1,ANDREZE
2,ANDRIEN
1,ANDRIENNE
