NOM	_1891_1900	_1901_1910	_1911_1920	_1921_1930	_1931_1940	_1941_1950	_1951_1960	_1961_1970	_1971_1980	_1981_1990	_1991_2000
AABI	0	0	0	0	0	0	0	0	4	21	7
AABID	0	0	0	0	0	0	0	0	7	13	17
AALBERG	1	5	2	5	4	6	4	2	1	0	0
AAMARA	0	0	0	0	0	0	0	1	11	5	15
AARAB	0	0	0	0	0	0	0	3	63	204	139
AARNINK	0	0	0	0	0	0	14	7	2	10	8
AARON	19	34	26	37	18	31	74	56	37	59	53
AARRAS	0	0	0	0	0	0	0	1	7	9	16
AATAR	0	0	0	0	0	0	0	1	12	15	13
AATIF	0	0	0	0	0	0	0	0	13	15	9
AATZ	3	4	3	2	5	3	5	11	1	12	7
AAZIZ	0	0	0	0	0	0	0	1	14	9	11
ABA	0	2	0	0	1	7	9	8	19	18	16
ABABOU	0	0	0	0	0	5	6	9	17	37	60
ABABSA	0	0	2	3	0	3	20	60	69	70	81
ABACHIN	0	2	1	7	8	9	18	17	15	15	20
ABAD	8	24	49	103	69	111	185	271	229	273	221
ABADA	2	0	1	1	2	12	26	44	63	61	54
ABADE	0	0	0	0	0	0	0	4	12	15	8
ABADI	0	1	4	1	7	8	13	33	25	55	40
ABADIA	10	13	20	26	23	47	58	77	57	49	47
ABADIANO	2	0	0	3	5	1	3	12	7	2	2
ABADIAS	5	7	6	8	15	5	14	10	4	7	3
ABADIE	738	959	736	1036	897	1021	1036	972	783	789	695
ABADLI	0	0	0	0	0	0	0	5	16	12	7
ABADLIA	0	0	0	0	0	0	0	15	7	14	12
ABADO	2	2	10	12	4	19	15	10	13	12	10
ABADOU	0	0	0	0	1	2	6	6	20	24	46
ABAFFOUR	1	3	1	4	3	5	7	6	3	7	5
ABAFOUR	6	10	4	7	10	9	7	8	11	3	2
ABAIDIA	0	0	1	0	0	3	10	20	28	34	52
ABAILLE	0	1	0	3	0	4	4	5	10	5	8
ABAIR	0	0	0	0	0	0	0	0	9	14	13
ABAJO	0	0	1	3	2	7	7	4	8	6	4
ABALAIN	26	53	42	53	59	68	84	84	67	75	28
ABALAM	0	1	3	0	4	14	1	2	12	2	4
ABALEA	15	28	10	31	41	24	40	45	25	33	31
ABALEO	2	0	3	4	3	6	6	3	2	5	3
ABALI	0	0	0	0	0	0	0	0	5	17	17
ABALLAIN	4	6	17	6	14	16	3	9	14	5	5
ABALLEA	18	28	35	46	51	65	45	90	68	43	40
ABALO	0	3	0	1	0	0	3	0	14	11	15
ABANADES	0	0	3	8	2	3	6	4	4	3	2
ABANCOURT	0	7	15	10	7	10	12	26	20	15	21
ABANE	0	0	0	0	0	3	2	5	4	8	9
ABANES	0	0	3	5	0	2	8	4	7	3	5
ABANI	0	0	0	0	0	0	0	0	6	17	15
ABAOUI	0	0	0	0	0	1	13	12	4	5	25
ABAR	5	8	13	14	16	26	36	29	34	46	39
ABARCA	3	2	3	11	2	6	24	12	14	19	8
ABARE	5	8	9	9	11	15	12	20	12	4	19
ABARKAN	0	0	0	0	0	0	0	3	12	44	53
ABARKI	0	0	0	0	0	0	0	0	8	14	15
ABARNOU	13	19	30	31	40	30	37	54	35	28	38
ABARO	0	4	1	0	4	13	5	7	10	4	6
ABART	6	13	11	3	12	11	6	10	6	3	11
ABAS	3	1	3	3	6	11	4	16	19	13	6
ABASCAL	0	7	8	7	7	11	7	12	10	4	9
ABASQ	2	3	6	10	7	8	20	17	13	17	21
ABASSE	0	1	0	0	0	0	1	0	8	17	14
ABASSEUR	0	6	4	1	1	0	3	1	6	3	8
ABASSI	1	1	7	6	4	15	25	55	108	100	128
ABASSIE	1	1	5	2	3	2	3	4	5	4	3
ABASTADO	0	0	0	4	2	5	7	3	2	7	2
ABAT	21	36	38	39	41	30	36	57	48	33	32
ABATAN	0	7	3	2	5	2	4	15	13	9	13
ABATE	2	13	13	10	21	23	58	126	95	83	83
ABATI	5	17	24	29	27	43	55	59	53	63	51
ABATORD	1	1	1	8	12	8	14	30	16	20	19
ABATTU	7	16	22	36	23	29	26	37	18	15	17
ABATUCI	2	16	8	12	22	6	26	34	12	13	23
ABATUT	5	5	7	3	9	7	6	9	6	3	3
ABAUL	5	7	13	19	19	15	23	33	20	18	27
ABAUTRET	10	25	27	19	31	41	39	39	33	36	23
ABAUX	1	5	3	1	3	5	1	7	7	1	2
ABAUZIT	24	51	25	42	30	34	58	48	37	57	34
ABAVENT	1	2	2	8	0	9	8	4	10	6	4
ABAZA	0	0	0	0	4	5	1	3	13	27	10
ABAZIOU	13	20	19	25	30	45	24	31	39	27	22
ABBA	20	23	31	44	37	56	55	52	77	80	91
ABBACH	0	0	0	0	0	0	0	0	2	21	9
ABBACHE	0	0	0	0	0	0	4	4	4	12	6
ABBACI	0	0	0	0	1	1	7	34	41	26	39
ABBAD	0	0	0	0	0	2	29	55	75	83	95
ABBADESSA	0	0	0	0	0	0	3	7	7	9	5
ABBADI	0	0	0	0	0	0	10	30	56	89	108
ABBADIE	85	87	80	84	90	101	115	105	80	66	64
ABBAL	46	52	38	67	38	66	53	58	36	41	52
ABBALLE	0	1	0	0	2	1	7	12	9	8	9
ABBAMONTE	0	3	5	2	6	3	10	11	3	7	6
ABBAOUI	0	0	0	0	0	0	1	9	23	44	46
ABBAR	0	0	0	1	0	1	3	13	35	35	44
ABBAS	4	1	1	10	7	29	81	185	263	289	302
ABBASSA	0	0	0	0	0	0	0	0	7	16	13
ABBASSE	0	0	0	0	0	0	7	7	3	13	13
ABBASSI	0	0	0	0	0	2	6	21	96	159	162
ABBAT	6	7	2	13	7	1	8	8	6	8	2
ABBATE	5	14	16	19	16	18	62	88	55	52	66
ABBATI	3	3	1	7	9	11	8	25	10	9	14
ABBATIELLO	0	0	0	0	0	0	8	7	6	2	7
ABBATTISTA	0	1	0	3	2	3	12	26	7	10	17
ABBATUCCI	3	2	2	6	4	2	10	5	1	6	4
ABBAYE	3	3	3	4	5	5	11	6	0	1	2
ABBAZ	0	0	0	0	0	0	1	8	22	21	20
ABBE	39	58	48	57	52	77	71	78	66	71	70
ABBE-DECARROUX	4	5	5	2	3	7	3	6	10	1	5
ABBENZELLER	0	0	0	2	2	7	8	3	11	3	7
ABBES	11	24	25	30	26	58	64	128	210	196	231
ABBEY	2	8	6	2	4	3	9	17	8	18	24
ABBEZZOT	0	4	0	5	7	14	24	34	41	33	49
ABBI	1	3	2	1	1	8	6	2	4	16	11
ABBIATI	4	2	3	4	5	1	8	1	4	7	4
ABBINANTI	0	2	0	1	1	1	6	6	1	10	4
ABBO	20	25	20	21	17	23	28	15	16	21	18
ABBONA	6	7	8	6	8	3	5	5	1	2	4
ABBONDANZA	0	1	2	12	0	12	13	13	17	8	7
ABBOT	0	3	4	1	3	4	2	5	4	10	3
ABBOTT	3	6	5	7	8	7	9	9	10	11	5
ABBOU	0	2	1	1	9	32	20	134	189	256	278
ABBOUB	0	0	0	0	0	0	0	4	21	14	10
ABBOUD	0	0	0	2	0	1	1	22	31	84	87
ABBOUDI	0	0	0	0	0	0	1	6	9	7	16
ABBRUZZESE	1	5	3	0	8	2	11	20	11	19	24
ABBURA	0	1	4	8	2	4	8	7	2	6	8
ABCHEE	0	4	8	9	2	1	0	4	6	1	2
ABCHI	0	0	0	0	0	0	1	22	9	4	5
ABCHICHE	0	0	0	0	1	1	1	11	19	16	11
ABD EL KADER	0	0	0	2	4	5	9	1	5	11	4
ABD-EL-KADER	0	0	1	4	1	8	14	13	5	2	11
ABDA	0	0	0	0	0	0	0	9	22	17	7
ABDALA	1	9	8	4	4	9	7	2	4	2	4
ABDALLA	0	0	0	3	2	0	9	7	7	30	34
ABDALLAH	3	10	15	47	56	89	213	225	298	475	683
ABDALLAH BEN SALLAH	0	0	0	3	4	0	6	10	3	4	0
ABDALLAOUI	0	0	0	0	0	0	0	10	25	28	31
ABDAOUI	0	0	0	0	0	0	1	16	36	75	49
ABDAT	0	0	0	0	0	3	11	28	25	29	30
ABDEBREIMAN	0	0	2	1	3	7	9	9	14	7	7
ABDECHAKOUR	0	0	0	0	0	0	7	3	7	6	7
ABDEDAIM	0	0	0	0	0	2	4	10	9	16	6
ABDEDDAIM	0	0	0	0	0	1	5	22	23	18	22
ABDEDDINE	0	0	0	0	0	0	0	0	10	16	8
ABDEDOU	0	0	0	0	0	1	15	18	12	10	15
ABDEL KADER	1	0	1	3	0	5	0	2	10	9	6
ABDEL RAHMAN	0	0	0	0	0	0	0	0	5	21	12
ABDEL-KADER	1	1	3	2	3	13	5	1	1	2	6
ABDELALI	0	0	0	0	1	5	30	32	34	53	50
ABDELAOUI	0	0	0	0	0	0	0	3	11	10	23
ABDELATIF	0	0	0	1	2	2	2	16	12	14	13
ABDELAZIZ	0	0	0	0	13	14	39	100	94	100	126
ABDELBAKI	0	0	0	0	0	0	4	12	13	20	11
ABDELBOST	0	0	0	0	0	0	14	20	11	7	10
ABDELCADER	0	0	0	2	0	1	7	5	8	7	1
ABDELDJEBBAR	0	0	0	0	0	0	3	2	6	10	9
ABDELFETTAH	0	0	0	0	0	0	0	8	13	8	8
ABDELGHAFOUR	0	0	0	0	0	1	13	15	5	9	11
ABDELGHANI	0	0	0	0	0	1	2	11	22	14	11
ABDELHADI	0	0	0	1	2	4	20	20	36	75	50
ABDELHAFID	0	0	0	0	0	0	0	12	19	12	14
ABDELHAK	0	0	0	0	0	0	3	27	59	38	56
