agriculteur	Agriculteurs
ânier	Agriculteurs
apiculteur	Agriculteurs
berger	Agriculteurs
betteravier	Agriculteurs
bouvier	Agriculteurs
cacaotier	Agriculteurs
champignonniste	Agriculteurs
charretier de labours	Agriculteurs
charruer	Agriculteurs
chef de culture	Agriculteurs
chevrier	Agriculteurs
crevettier	Agriculteurs
cultivateur	Agriculteurs
cultivateur-vigneron	Agriculteurs
domestique de culture	Agriculteurs
fermier	Agriculteurs
gommier	Agriculteurs
grainetier	Agriculteurs
homardier	Agriculteurs
huîtrier	Agriculteurs
huîtrière	Agriculteurs
kolatier	Agriculteurs
laboureur	Agriculteurs
mancenillier	Agriculteurs
maraîcher	Agriculteurs
marin	Agriculteurs
marin-pêcheur	Agriculteurs
mécanicien en dirigeable	Agriculteurs
meneau	Agriculteurs
moutier	Agriculteurs
muletier	Agriculteurs
paysager	Agriculteurs
paysan	Agriculteurs
planteur cultivateur	Agriculteurs
plantier	Agriculteurs
vigneron	Agriculteurs
viticulteur	Agriculteurs
aérostier	Artisans, commerçants et chefs d’entreprise
apprêteur sur étoffes	Artisans, commerçants et chefs d’entreprise
argenteur-doreur	Artisans, commerçants et chefs d’entreprise
armurier	Artisans, commerçants et chefs d’entreprise
artisan	Artisans, commerçants et chefs d’entreprise
aurier bijoutier	Artisans, commerçants et chefs d’entreprise
barbier	Artisans, commerçants et chefs d’entreprise
bijoutier	Artisans, commerçants et chefs d’entreprise
blanchisseur	Artisans, commerçants et chefs d’entreprise
bonnetier	Artisans, commerçants et chefs d’entreprise
bottier	Artisans, commerçants et chefs d’entreprise
boucher	Artisans, commerçants et chefs d’entreprise
boucher-charcutier	Artisans, commerçants et chefs d’entreprise
boulanger	Artisans, commerçants et chefs d’entreprise
bouquetier	Artisans, commerçants et chefs d’entreprise
bourrelier	Artisans, commerçants et chefs d’entreprise
bourrelier sellier  	Artisans, commerçants et chefs d’entreprise
boutiquier	Artisans, commerçants et chefs d’entreprise
briquetier	Artisans, commerçants et chefs d’entreprise
brocanteur	Artisans, commerçants et chefs d’entreprise
brocheur-relieur	Artisans, commerçants et chefs d’entreprise
brossier	Artisans, commerçants et chefs d’entreprise
carrossier	Artisans, commerçants et chefs d’entreprise
caviste	Artisans, commerçants et chefs d’entreprise
cellérier	Artisans, commerçants et chefs d’entreprise
chamelier	Artisans, commerçants et chefs d’entreprise
chapelier	Artisans, commerçants et chefs d’entreprise
charcutier	Artisans, commerçants et chefs d’entreprise
charpentier	Artisans, commerçants et chefs d’entreprise
charpentier en bateaux	Artisans, commerçants et chefs d’entreprise
charpentier en bois	Artisans, commerçants et chefs d’entreprise
charpentier en fer	Artisans, commerçants et chefs d’entreprise
coiffeur	Artisans, commerçants et chefs d’entreprise
commerçant	Artisans, commerçants et chefs d’entreprise
compotier	Artisans, commerçants et chefs d’entreprise
conducteur imprimeur	Artisans, commerçants et chefs d’entreprise
confectionneur	Artisans, commerçants et chefs d’entreprise
cordonnier	Artisans, commerçants et chefs d’entreprise
corsetier	Artisans, commerçants et chefs d’entreprise
costumier	Artisans, commerçants et chefs d’entreprise
coutelier	Artisans, commerçants et chefs d’entreprise
couturier	Artisans, commerçants et chefs d’entreprise
couvreur	Artisans, commerçants et chefs d’entreprise
couvreur zingueur	Artisans, commerçants et chefs d’entreprise
cravatier	Artisans, commerçants et chefs d’entreprise
cuisinier	Artisans, commerçants et chefs d’entreprise
cuisinier pâtissier	Artisans, commerçants et chefs d’entreprise
débitant	Artisans, commerçants et chefs d’entreprise
débitant en verre	Artisans, commerçants et chefs d’entreprise
débiteur	Artisans, commerçants et chefs d’entreprise
dentellier	Artisans, commerçants et chefs d’entreprise
diamantaire	Artisans, commerçants et chefs d’entreprise
doreur	Artisans, commerçants et chefs d’entreprise
doreur sur bois	Artisans, commerçants et chefs d’entreprise
drapier	Artisans, commerçants et chefs d’entreprise
ébéniste	Artisans, commerçants et chefs d’entreprise
électricien	Artisans, commerçants et chefs d’entreprise
entrepreneur de maçonnerie	Artisans, commerçants et chefs d’entreprise
entrepreneur de plomberie	Artisans, commerçants et chefs d’entreprise
entrepreneur en bâtiments	Artisans, commerçants et chefs d’entreprise
fabricant	Artisans, commerçants et chefs d’entreprise
fabricant de balais	Artisans, commerçants et chefs d’entreprise
fabricant de chapellerie	Artisans, commerçants et chefs d’entreprise
façonnier	Artisans, commerçants et chefs d’entreprise
faïencier	Artisans, commerçants et chefs d’entreprise
ferblantier	Artisans, commerçants et chefs d’entreprise
ferronnier	Artisans, commerçants et chefs d’entreprise
fleuriste	Artisans, commerçants et chefs d’entreprise
fondeur	Artisans, commerçants et chefs d’entreprise
fontainier	Artisans, commerçants et chefs d’entreprise
forain	Artisans, commerçants et chefs d’entreprise
forgeron	Artisans, commerçants et chefs d’entreprise
frappeur sur feux	Artisans, commerçants et chefs d’entreprise
fripier	Artisans, commerçants et chefs d’entreprise
gantier	Artisans, commerçants et chefs d’entreprise
garagiste d'automobile	Artisans, commerçants et chefs d’entreprise
gargotier	Artisans, commerçants et chefs d’entreprise
glacier	Artisans, commerçants et chefs d’entreprise
graveur	Artisans, commerçants et chefs d’entreprise
horloger	Artisans, commerçants et chefs d’entreprise
hôtelier	Artisans, commerçants et chefs d’entreprise
huilier	Artisans, commerçants et chefs d’entreprise
humoriste	Artisans, commerçants et chefs d’entreprise
imprimeur	Artisans, commerçants et chefs d’entreprise
industriel	Artisans, commerçants et chefs d’entreprise
joaillier	Artisans, commerçants et chefs d’entreprise
liquoriste	Artisans, commerçants et chefs d’entreprise
lithographe	Artisans, commerçants et chefs d’entreprise
lunetier	Artisans, commerçants et chefs d’entreprise
luthier	Artisans, commerçants et chefs d’entreprise
maçon	Artisans, commerçants et chefs d’entreprise
maçon-cimentier	Artisans, commerçants et chefs d’entreprise
maître queux	Artisans, commerçants et chefs d’entreprise
maître-coq	Artisans, commerçants et chefs d’entreprise
manufacturier	Artisans, commerçants et chefs d’entreprise
maquettiste	Artisans, commerçants et chefs d’entreprise
maquignon	Artisans, commerçants et chefs d’entreprise
marbrier	Artisans, commerçants et chefs d’entreprise
marchand	Artisans, commerçants et chefs d’entreprise
marchand d'abats	Artisans, commerçants et chefs d’entreprise
marchand de bestiaux	Artisans, commerçants et chefs d’entreprise
marchand de chiffons	Artisans, commerçants et chefs d’entreprise
marchand de faïences	Artisans, commerçants et chefs d’entreprise
marchand de métaine	Artisans, commerçants et chefs d’entreprise
marchand de quatre saisons	Artisans, commerçants et chefs d’entreprise
marchand de vins	Artisans, commerçants et chefs d’entreprise
marchand de volailles	Artisans, commerçants et chefs d’entreprise
marchand-forain	Artisans, commerçants et chefs d’entreprise
maréchal-ferrant	Artisans, commerçants et chefs d’entreprise
matelassier	Artisans, commerçants et chefs d’entreprise
mentonnier	Artisans, commerçants et chefs d’entreprise
menuisier	Artisans, commerçants et chefs d’entreprise
menuisier ébéniste	Artisans, commerçants et chefs d’entreprise
mercier	Artisans, commerçants et chefs d’entreprise
meunier	Artisans, commerçants et chefs d’entreprise
minotier	Artisans, commerçants et chefs d’entreprise
modeleur	Artisans, commerçants et chefs d’entreprise
négociant	Artisans, commerçants et chefs d’entreprise
négociant en tissus	Artisans, commerçants et chefs d’entreprise
opticien	Artisans, commerçants et chefs d’entreprise
orfèvre	Artisans, commerçants et chefs d’entreprise
papetier	Artisans, commerçants et chefs d’entreprise
parqueteur	Artisans, commerçants et chefs d’entreprise
pâtissier	Artisans, commerçants et chefs d’entreprise
peintre	Artisans, commerçants et chefs d’entreprise
peintre décorateur	Artisans, commerçants et chefs d’entreprise
peintre sur porcelaine	Artisans, commerçants et chefs d’entreprise
perruquier	Artisans, commerçants et chefs d’entreprise
platière	Artisans, commerçants et chefs d’entreprise
platrier	Artisans, commerçants et chefs d’entreprise
plâtrier-peintre	Artisans, commerçants et chefs d’entreprise
plombier	Artisans, commerçants et chefs d’entreprise
plombier-zingueur	Artisans, commerçants et chefs d’entreprise
plumier	Artisans, commerçants et chefs d’entreprise
poissonnier	Artisans, commerçants et chefs d’entreprise
porcelainier	Artisans, commerçants et chefs d’entreprise
poseur	Artisans, commerçants et chefs d’entreprise
potier	Artisans, commerçants et chefs d’entreprise
potier d'étain	Artisans, commerçants et chefs d’entreprise
promoteur	Artisans, commerçants et chefs d’entreprise
propriétaire	Artisans, commerçants et chefs d’entreprise
prospecteur	Artisans, commerçants et chefs d’entreprise
relieur	Artisans, commerçants et chefs d’entreprise
rempailleur	Artisans, commerçants et chefs d’entreprise
rentier	Artisans, commerçants et chefs d’entreprise
réparateur d'objets d'art	Artisans, commerçants et chefs d’entreprise
restaurateur	Artisans, commerçants et chefs d’entreprise
roulottier	Artisans, commerçants et chefs d’entreprise
sabotier	Artisans, commerçants et chefs d’entreprise
sculpteur	Artisans, commerçants et chefs d’entreprise
sellier	Artisans, commerçants et chefs d’entreprise
serrurier	Artisans, commerçants et chefs d’entreprise
serrurier ajusteur	Artisans, commerçants et chefs d’entreprise
sertisseur	Artisans, commerçants et chefs d’entreprise
tailleur	Artisans, commerçants et chefs d’entreprise
tailleur d'habits	Artisans, commerçants et chefs d’entreprise
tailleur de pierre	Artisans, commerçants et chefs d’entreprise
tailleuse	Artisans, commerçants et chefs d’entreprise
tanneur	Artisans, commerçants et chefs d’entreprise
tapissier	Artisans, commerçants et chefs d’entreprise
tapissier en meubles	Artisans, commerçants et chefs d’entreprise
teinturier	Artisans, commerçants et chefs d’entreprise
tenancier	Artisans, commerçants et chefs d’entreprise
tissutier	Artisans, commerçants et chefs d’entreprise
vannier	Artisans, commerçants et chefs d’entreprise
vannière	Artisans, commerçants et chefs d’entreprise
verrier	Artisans, commerçants et chefs d’entreprise
volailleur	Artisans, commerçants et chefs d’entreprise
carreleur	Artisans, commerçants et chefs d’entreprise
loueur de voitures	Artisans, commerçants et chefs d’entreprise
quincailler	Artisans, commerçants et chefs d’entreprise
sculpteur sur bois	Artisans, commerçants et chefs d’entreprise
chômeur	autre
enfant de troupe	autre
voyageur	Autre
acrobate	Cadres
acteur	Cadres
acteur dramatique	Cadres
actuaire	Cadres
artiste	Cadres
artiste acrobate	Cadres
artiste dramatique	Cadres
artiste forain	Cadres
artiste lyrique	Cadres
artiste-comédien	Cadres
astronome	Cadres
audiencier	Cadres
avocat	Cadres
avocat-conseil	Cadres
bachelier	Cadres
banquier	Cadres
bâtonnier	Cadres
biographe	Cadres
bretteur	Cadres
businessman	Cadres
chartiste	Cadres
chef vigneron	Cadres
chirurgien	Cadres
chirurgien-dentiste	Cadres
clinicien	Cadres
collaborateur	Cadres
commissionnaire	Cadres
conseil	Cadres
conseiller	Cadres
consultant	Cadres
conteur	Cadres
courtier	Cadres
créancier	Cadres
dentiste	Cadres
dessinateur	Cadres
dessinateur architecte	Cadres
directeur	Cadres
docteur	Cadres
docteur en médecine	Cadres
dramaturge	Cadres
élève à l'école préparatoire	Cadres
élève de l'école centrale	Cadres
élève en pharmacie	Cadres
entrepreneur	Cadres
étudiant	Cadres
étudiant écclésiastique	Cadres
étudiant en médecine	Cadres
ex-artiste	Cadres
ex-génie	Cadres
ex-journaliste	Cadres
ex-mercenaire	Cadres
ex-officier	Cadres
ex-sergent	Cadres
expert-comptable	Cadres
géographe	Cadres
géographe coloniste	Cadres
graphiste	Cadres
gynécologue	Cadres
historien	Cadres
homéopathe	Cadres
imprésario	Cadres
ingénieur	Cadres
ingénieur-chimiste	Cadres
ingénieur-conseil	Cadres
inspecteur d'assurances	Cadres
interprète	Cadres
investisseur	Cadres
journaliste	Cadres
magistrat	Cadres
mandataire	Cadres
mathématicien	Cadres
mécanicien dentiste	Cadres
médecin	Cadres
médecin-chef	Cadres
médecin-conseil	Cadres
médecin-major	Cadres
météorologiste	Cadres
musicien	Cadres
musicographe	Cadres
notaire	Cadres
odontologiste	Cadres
odontologue	Cadres
officier	Cadres
officier d'administration	Cadres
ophtalmologiste	Cadres
ophtalmologue	Cadres
pharmacien	Cadres
photographe	Cadres
photojournaliste	Cadres
praticien	Cadres
précepteur	Cadres
prêteur	Cadres
principal	Cadres
professeur	Cadres
prospecteur colonial	Cadres
psychiatre	Cadres
publiciste	Cadres
questeur	Cadres
réalisateur	Cadres
recruteur	Cadres
rédacteur	Cadres
régisseur de vignoble	Cadres
reporter	Cadres
savant	Cadres
sous-officier rengagé	Cadres
courtier en vins	Cadres
