Profession	Catégorie
électricien	Artisans, commerçants et chefs d’entreprise
bonnetier	Artisans, commerçants et chefs d’entreprise
blanchisseur	Artisans, commerçants et chefs d’entreprise
charpentier en fer	Ouvriers
ouvrier agricole	Ouvriers
garçon coiffeur	Ouvriers
garçon	Employés
chasseur cycliste	Ouvriers
houilleur	Ouvriers
poseur	Artisans, commerçants et chefs d’entreprise
faïencier	Artisans, commerçants et chefs d’entreprise
garçon de salle	Employés
marchand de faïences	Artisans, commerçants et chefs d’entreprise
volailleur	Artisans, commerçants et chefs d’entreprise
graveur	Artisans, commerçants et chefs d’entreprise
polisseur en métaux	Ouvriers
tailleur d'habits	Artisans, commerçants et chefs d’entreprise
perruquier	Artisans, commerçants et chefs d’entreprise
entrepreneur de maçonnerie	Artisans, commerçants et chefs d’entreprise
vendeur aux halles	Employés
forgeron serrurier	Ouvriers
forgeron	Ouvriers
garçon de culture	Employés
chauffeur de machines	Ouvriers
tanneur	Ouvriers
potier d'étain	Artisans, commerçants et chefs d’entreprise
automobiliste	Professions intermédiaires
ouvrier fondeur	Ouvriers
réceptionnaire	Employés
berger	Agriculteurs
menuisier ébéniste	Artisans, commerçants et chefs d’entreprise
prospecteur colonial	Cadres
tulliste	Ouvriers
sabotier	Artisans, commerçants et chefs d’entreprise
marchand de chiffons	Artisans, commerçants et chefs d’entreprise
garçon de magasin	Employés
conducteur imprimeur	Ouvriers
charpentier en bateaux	Ouvriers
manoeuvre d'équipe télégraphique	Ouvriers
tailleur de pierre	Artisans, commerçants et chefs d’entreprise
doreur sur bois	Artisans, commerçants et chefs d’entreprise
garde-champêtre	Employés
doreur	Artisans, commerçants et chefs d’entreprise
peintre en bâtiments	Ouvriers
serrurier ajusteur	Ouvriers
chauffeur mécanicien	Ouvriers
mécanicien ajusteur	Ouvriers
ajusteur mécanicien	Ouvriers
chauffeur de locomotive	Ouvriers
mécanicien dentiste	Cadres
chauffeur	Ouvriers
mineur	Ouvriers
plombier	Artisans, commerçants et chefs d’entreprise
régisseur de vignoble	Cadres
vigneron	Agriculteurs
chef vigneron	Cadres
cuisinier pâtissier	Artisans, commerçants et chefs d’entreprise
cocher-livreur	Employés
nourrisseur	Employés
marchand de bestiaux	Artisans, commerçants et chefs d’entreprise
plombier-couvreur	Ouvriers
mouleur en bronze	Ouvriers
fileur	Ouvriers
marchand de quatre saisons	Artisans, commerçants et chefs d’entreprise
facteur des postes	Employés
vendeuse	Employés
horloger	Artisans, commerçants et chefs d’entreprise
tripière	Ouvriers
tripier	Ouvriers
débitante	Employés
garçon charcutier	Employés
chauffeur d'automobiles	Ouvriers
conducteur de voitures	Ouvriers
employé aux chemins de fer	Employés
employé de bureau	Employés
garçon de café	Employés
garçon de restaurant	Employés
cimentier	Ouvriers
domestique de ferme	Agriculteurs
marchand-forain	Artisans, commerçants et chefs d’entreprise
peintre sur porcelaine	Artisans, commerçants et chefs d’entreprise
marchand	Artisans, commerçants et chefs d’entreprise
tailleur	Artisans, commerçants et chefs d’entreprise
employé comptable	Employés
verrier	Artisans, commerçants et chefs d’entreprise
domestique	Employés
représentant de commerce	Cadres
inspecteur d'assurances	Cadres
réparateur d'objets d'art	Artisans, commerçants et chefs d’entreprise
imprimeur	Ouvriers
étudiant	Cadres
limonadier	Employés
cahoutchoutier	Ouvriers
ouvrier d'usine	Ouvriers
commis de marchand de vins	Employés
voyageur de commerce	Cadres
conducteur de bestiaux	Ouvriers
scieur	Ouvriers
peintre	Artisans, commerçants et chefs d’entreprise
télégraphiste	Ouvriers
employé d'hôtel	Employés
ouvrier agricole	Agriculteurs
docteur en médecine	Cadres
charron	Ouvriers
terrassier	Ouvriers
tonnelier	Ouvriers
ébéniste	Artisans, commerçants et chefs d’entreprise
pâtissier	Artisans, commerçants et chefs d’entreprise
journalier coiffeur	Ouvriers
tourneur sur métaux	Ouvriers
comptable	Cadres
marin-pêcheur	Agriculteurs
bardeur	Ouvriers
caissier	Employés
coltineur	Ouvriers
apprêteur sur étoffes	Artisans, commerçants et chefs d’entreprise
berger	Agriculteurs
charretier de labours	Agriculteurs
ouvrier en chaussures	Ouvriers
chaudronnier	Ouvriers
aide-chaudronnier	Ouvriers
chauffeur d'usine	Employés
vendeur d'automobiles	Employés
chaudronnier en fer	Ouvriers
garde-barrière	Employés
employé de banque	Professions intermédiaires
maître d'hôtel	Employés
employé de commerce	Employés
apiculteur	Agriculteurs
frappeur sur feux	Artisans, commerçants et chefs d’entreprise
valet de chambre	Employés
ouvrier boulanger	Ouvriers
charretier	Ouvriers
acteur dramatique	Cadres
peintre	Artisans, commerçants et chefs d’entreprise
peintre en bâtiments	Artisans, commerçants et chefs d’entreprise
garçon de courses	Employés
entrepreneur de plomberie	Artisans, commerçants et chefs d’entreprise
domestique de culture	Agriculteurs
riveur	Ouvriers
aide-comptable	Professions intermédiaires
ramoneur	Ouvriers
emballeur	Ouvriers
épicier	Employés
marinier	Professions intermédiaires
matelassier	Artisans, commerçants et chefs d’entreprise
camionneur	Ouvriers
